Platform,Year_of_Release_min,Year_of_Release_max,NA_Sales_mean,EU_Sales_mean,JP_Sales_mean,Other_Sales_mean,Global_Sales_mean,Critic_Score_mean,User_Score_mean,E_Rating_sum,M_Rating_sum,T_Rating_sum,E10_Rating_sum,AO_Rating_sum,KA_Rating_sum,RP_Rating_sum,Sports_Genre_sum,Racing_Genre_sum,Platform_Genre_sum,Misc_Genre_sum,Action_Genre_sum,Shooter_Genre_sum,Puzzle_Genre_sum,Fighting_Genre_sum,Simulation_Genre_sum,Role-Playing_Genre_sum,Adventure_Genre_sum,Strategy_Genre_sum
3DS,2011.0,2016.0,0.31400000000000006,0.2150322580645162,0.21658064516129036,0.049354838709677315,0.7950322580645157,68.06451612903226,6.940645161290321,54,11,40,50,0,0,0,4,5,18,10,54,2,8,7,9,26,9,3
DC,1999.0,2001.0,0.11,0.020714285714285713,0.18999999999999995,0.004285714285714286,0.32500000000000007,87.35714285714286,8.528571428571428,3,1,10,0,0,0,0,1,2,1,0,0,1,0,2,1,4,2,0
DS,2004.0,2012.0,0.3737068965517248,0.20538793103448347,0.18030172413793102,0.06435344827586251,0.8239870689655169,66.52370689655173,7.0471982758620735,231,9,84,140,0,0,0,22,18,35,37,75,27,52,14,37,89,31,27
GBA,2001.0,2006.0,0.33497890295358634,0.13755274261603365,0.0680590717299578,0.015105485232067445,0.5559071729957813,70.40084388185655,7.691983122362866,169,6,44,18,0,0,0,19,21,48,12,51,13,6,13,8,31,9,6
GC,2001.0,2007.0,0.3101436781609197,0.08887931034482777,0.046321839080459774,0.012270114942528665,0.4581034482758637,71.20402298850574,7.616666666666673,167,34,130,17,0,0,0,66,31,44,16,69,40,6,24,10,22,13,7
PC,1985.0,2016.0,0.09794162826420888,0.1610138248847929,0.000261136712749616,0.027342549923195365,0.28743471582181396,76.26113671274962,7.0603686635944785,99,242,246,63,0,0,1,28,43,10,3,130,129,4,3,78,83,25,115
PS,1994.0,2002.0,0.6117333333333334,0.43053333333333343,0.25900000000000006,0.07639999999999986,1.3770000000000013,73.85333333333334,7.859999999999996,70,18,61,0,0,1,0,16,17,16,4,27,12,2,15,4,28,5,4
PS2,2000.0,2010.0,0.4146052631578935,0.22380701754386023,0.06649999999999998,0.12492105263157877,0.8297982456140344,69.4921052631579,7.664385964912285,371,208,483,78,0,0,0,196,131,70,54,243,127,6,73,45,117,40,38
PS3,2006.0,2015.0,0.44423927178153416,0.3556566970091012,0.0708972691807543,0.14929778933680127,1.0198959687906382,70.95318595578674,6.782704811443439,154,237,277,101,0,0,0,115,62,22,41,228,121,1,56,18,78,19,8
PS4,2013.0,2016.0,0.3521338912133895,0.46769874476987405,0.03887029288702922,0.15803347280334723,1.0168619246861923,72.66945606694561,6.739330543933056,50,74,78,37,0,0,0,39,15,11,7,81,33,1,11,2,23,12,4
PSP,2004.0,2013.0,0.20948717948717926,0.12597435897435905,0.06502564102564101,0.08074358974359012,0.4818461538461544,68.7974358974359,7.2705128205128275,108,47,170,65,0,0,0,60,39,20,21,74,30,11,30,8,70,13,14
PSV,2011.0,2016.0,0.08415254237288121,0.07432203389830494,0.06457627118644063,0.03822033898305073,0.2616949152542374,70.73728813559322,7.491525423728808,13,30,56,19,0,0,0,6,5,6,8,37,5,1,9,0,31,10,0
Wii,2006.0,2012.0,0.7158872651357003,0.42615866388308965,0.10933194154488507,0.12434237995824635,1.3757411273486433,64.17536534446764,6.903757828810019,175,30,140,134,0,0,0,73,30,36,70,122,29,14,26,26,25,22,6
WiiU,2012.0,2016.0,0.34483146067415726,0.22943820224719114,0.11426966292134827,0.05393258426966287,0.7424719101123596,70.67415730337079,7.04157303370786,29,14,10,36,0,0,0,6,1,15,12,39,5,3,3,1,2,1,1
X360,2005.0,2014.0,0.6217132867132867,0.2731118881118882,0.011759906759906704,0.08786713286713388,0.9945221445221447,69.04195804195804,6.780769230769243,175,264,292,127,0,0,0,140,71,21,62,233,153,2,56,28,58,15,19
XB,2000.0,2007.0,0.27120353982300993,0.088920353982301,0.002123893805309735,0.012849557522123774,0.3753451327433636,71.6070796460177,7.5407079646017765,178,146,223,17,1,0,0,121,76,26,15,119,107,1,31,21,17,18,13
XOne,2013.0,2016.0,0.4753459119496859,0.2642767295597484,0.001823899371069183,0.07289308176100619,0.8149056603773587,73.72955974842768,6.493081761006291,36,62,33,28,0,0,0,31,14,4,12,48,30,0,5,1,8,4,2
